SourceID,Publisher,Title,Revision,Publication date,Access date,Source class,Citation role,URL,Locator,Applicable grades,Access status,SHA256
I-PLA-TDS,iSANMATE,PLA,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2022/09/PLA_TDS.pdf,Document / product page,G001-03,Retrieved,c30ebe387da2a183ec1970e88f56aaea8304ceb44d9bdca2e78029dabd1e5663
B-pla-basic-filament-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Basic,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s1/default/58b85d0f3db94878854a28fdb8a0006e/Bambu_PLA_Basic_Technical_Data_Sheet.pdf,Document / product page,G002-01,Retrieved,05b504148050e17c02d2f20f1a4b718b4e35d43af1c406da34127711762ff939
B-pla-matte-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Matte,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s7/default/5b061f2feeac4ba88f355a33248bbda7/Bambu_PLA_Matte_Technical_Data_Sheet.pdf,Document / product page,G003-01,Retrieved,544f98056f3a142969983a97dcd75140b447bca397f99e17edeb260cd2d0d3f5
B-pla-basic-gradient-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Basic,Technical Data Sheet V2.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Basic_Gradient_Technical_Data_Sheet.pdf,Document / product page,G005-01,Retrieved,84f9fde455348a11c3861307bd391a8e4cebdf6f367c19506b56eee413512a50
B-pla-tough-upgrade-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Tough+,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s7/default/80a85371db2e40bda97069d283fed76c/BambuPLA_Tough_TechnicalData_Sheet_(2).pdf,Document / product page,G006-01,Retrieved,73fc789bc00aee976c7d70890bada6103fc8fadcbae50cd955872549c7603f61
B-pla-translucent-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Translucent,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s7/default/729a8bf233e9474db25c8d5be1e64a00/Bambu_PLA_Translucent_Technical_Data_Sheet.pdf,Document / product page,G007-01,Retrieved,9a0d6356bb2c0839e1586c256e8b38b2f69dd60b86ae044607af19a72e3e379b
B-pla-silk-upgrade-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Silk+,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Silk__Technical_Data_Sheet.pdf?v=1733472353,Document / product page,G009-01,Retrieved,336eab9b2bd1b8e1768880cc82b44da4ab16f8de4ccc434d9d47b2beebb22ea6
B-pla-silk-dual-color-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Silk,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Silk_Dual_Color_Technical_Data_Sheet.pdf,Document / product page,G010-01,Retrieved,ed62961c3288d08217f80cf27fdfd467f6bfe70b853ab683a40b179731227666
B-pla-metal-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Metal,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/c6c28a13ba294c6f9fe62755ec9188fa.pdf,Document / product page,G011-01,Retrieved,89844096f35cf7a7bf44b8ac80cfd7f191b99fbcf8b839a4fa24bcb712e3f161
B-pla-marble-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Marble,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/b81e083c7d1f4e2182ef749d48f9ec86.pdf,Document / product page,G012-01,Retrieved,5e5b81ceef7fe995c3e31e42ee6e12f79606619eabdd6d4438f00bb797bbdcf1
B-pla-sparkle-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Sparkle,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/169532c9ce4d4610a9e85d92c0222bb9.pdf,Document / product page,G013-01,Retrieved,aff0134b09ee327c60a7b5a0966aad140cbaa4373952abb7a633e5f7aacd6550
B-pla-wood-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Wood,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s4/default/6fda0ae88e5a4e66bb5d58f2968eee42/Bambus_PLA_Wood_Technical_Data_Sheet.pdf,Document / product page,G014-01,Retrieved,0d4a7db697bb84866f7852860a81035d5329a645008844ba0f39a03d80bddf52
B-pla-galaxy-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Galaxy,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/8f0b6b2741e3498689c2c7706374c482.pdf,Document / product page,G015-01,Retrieved,75cfdf621cfe629d80e0bffcad327c5088a1ddcd891cfb24cac0cc717cf63e21
B-pla-glow-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Glow,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/cd34cf072d14484bbf027290d16abe9b.pdf,Document / product page,G016-01,Retrieved,7ebb92f0abcb8ebfe225d1fda4556454eaaf20bc27c42a06831d67d56e3ae919
B-pla-aero-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA Aero,Technical Data Sheet V4.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/cbc8b808aaf84ead9bb3b0b9b43e66af.pdf,Document / product page,G017-01,Retrieved,c7730c4bac6f58d8660bbc5bd580fa00f18b956033b9768a5a543d546d15c592
B-pla-cf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PLA-CF,Technical Data Sheet V2.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/842f399d4e274507953a5231126ec8c1.pdf,Document / product page,G018-01,Retrieved,1939edfb494813529cd5324854975b0248e662af8adc11045599257f08bffae3
S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Polymaker,Polymaker™ HT-PLA-GF Technical Data Sheet,V1.1,Not published,2026-09-14,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/Polymaker-HT-PLA-GF_TDS_EN_V1.1.pdf,Document / product page,G019-01,Retrieved,7e9fe84101b5dfbbf0c8be3a834fd19ef5522ba3635fd6a74ef0692f1e29f3fb
I-PLA-Glass-Fiber-Technical-Data-Sheet,iSANMATE,PLA Glass Fiber,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2025/08/PLA-Glass-Fiber-Technical-Data-Sheet.pdf,Document / product page,G019-02,Retrieved,558f53e24e2062b3087e76a965bcb7bdfb846ae2dad7ccbb6c9a0e9fd288e422
X-3DXPRO-LG-PETG-TDS-v3,3DXTECH,3DXPRO LG PETG,TDS Rev 3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXPRO_LG_PETG_TDS_v3.pdf?v=1723942764,Document / product page,G020-01,Retrieved,90bffa56993d09180589ba4ceb660a8505cdd7956eb8744666309cd1ecd8f853
S-POLYCN-PolyLite-PETG-TDS-V5-3,Polymaker,PolyLite PETG,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_PETG_TDS_V5.3.pdf,Document / product page,G020-02,Retrieved,3e325b645b42d7547517ee7940f5fd476b48815c08342676a38777206350092f
I-PETG-TDS,iSANMATE,PETG,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2025/08/PETG_TDS.pdf,Document / product page,G020-03,Retrieved; user-supplied local copy re-verified 2026-09-11 (SHA256 match confirms identical to originally cited document),f24f7e065c99fb348844ec58a80f3f5195853a620d567bc0857019c3837ed337
B-petg-basic-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PETG Basic,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s1/default/cb94589bf7994fdcbfa833badefae9cd/Bambu_PETG_Basic_Technical_Data_Sheet.pdf,Document / product page,G021-01,Retrieved,fc23b725a4632bd931f28d0076461180e0ba87b7c2ddb6b1f16478ad5c5db6c6
B-petg-hf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PETG HF,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/3a230e260a3a47c2b0db0156e07eef91.pdf,Document / product page,G022-01,Retrieved,51981f734b941947f3fe696cc370c1a4b7419f4eb4cffa77ea97c3d5d4b53ab4
B-petg-translucent-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PETG Translucent,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s1/default/338c9cd853fd44d9b6ed354a49048e72/Bambu_PETG_Translucent_Technical_Data_Sheet.pdf,Document / product page,G023-01,Retrieved,76246afc09c01b232869072208abbace373650b5b1e661ab222b4605f67a5229
B-petg-cf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PETG-CF,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/626e4f424bf345ae965ad0ddfcaf2459.pdf,Document / product page,G024-01,Retrieved,18ca4ea88470343cd76173c44e5d9e71e6d7e538a6287816a62d80660329bba6
I-PETG-Glass-Fiber-Technical-Data-Sheet,iSANMATE,PETG Glass Fiber,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2025/08/PETG-Glass-Fiber-Technical-Data-Sheet.pdf,Document / product page,G025-01,Retrieved,1e41e738a6ff6ddf553e5dd6be850d40e01e51170f870e5287f2c3e7da700690
X-3DXSTAT-ESD-PETG-TDS-v03,3DXTECH,3DXSTAT ESD PETG,TDS Rev 3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD-PETG-TDS-v03.pdf?v=1723942764,Document / product page,G026-01,Retrieved,1400595ae5526bd279645acf88f392b9e2b542a50dea27fb099e4c56b0aad86a
S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Polymaker,PolyMax™ PETG-ESD Technical Data Sheet,Technical Data Sheet V5.3,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMax_PETG-ESD_TDS_V5.3.pdf,Document / product page,G026-02,Retrieved,ea8f37d8be896751c9f054abaac5848adc686c42964922f95f62259261aa404e
S-SPECTRUM-en-tds-spectrum-petg-esd,Spectrum,petg esd,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_petg_esd.pdf,Document / product page,G026-03,Retrieved,98da8269b06df68ecf6c84e60cf792306e82a47282d2b6088d09ed41a72e85ab
B-abs-filament-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - ABS,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s7/default/23b4cf2b83d5470bb96d19970b5f3ae8/Bambu_ABS_Technical_Data_Sheet_V3.pdf,Document / product page,G027-01,Retrieved,371323063447db7c7c390bdcf66ef6e902a680bafa0f757b75c417c26cae3fb5
B-abs-gf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - ABS-GF,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/69f0758087c943f8a0a87bffa6dc901b.pdf,Document / product page,G028-01,Retrieved,0d506ed63d1c831a9cb0645ecba3fc0ec4cba09614df2d0f3a957f00cb103b44
X-CarbonX-CF-ABS-TDS-v3,3DXTECH,CarbonX CF ABS,TDS Rev 3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_ABS_TDS_v3.pdf?v=1723942765,Document / product page,G029-01,Retrieved,1be4565728cfd6a8b19b57f4c19e764a03575e623f5262e45460f6094e590064
I-CF-ABS-TDS,iSANMATE,CF ABS,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2022/09/CF-ABS_TDS.pdf,Document / product page,G029-02,Retrieved; user-supplied local copy re-verified 2026-09-11 (SHA256 match confirms identical to originally cited document),ea1795df0a5516f6b7ff66d0d1286f2956ebd0a1a099593e87fa8208f83e2921
X-3DXSTAT-ESD-ABS-TDS-v3,3DXTECH,3DXSTAT ESD ABS,TDS Rev 3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD_ABS_TDS_v3.pdf?v=1723942764,Document / product page,G030-01,Retrieved,ed66de6ab0824f93507a6c684b1b85a565970c3b76c95f1546c419ff1dbb32f3
I-ESD-ABS-TDS,iSANMATE,ESD ABS,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2024/09/ESD-ABS_TDS.pdf,Document / product page,G030-02,Retrieved,821d1a6b61e180865743990dcc664de686fde4b3c1d37361a7a69ffc46778a9c
B-asa-filament-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - ASA,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/ad7b08230c164e72856cffbe06bb7dc9.pdf,Document / product page,G031-01,Retrieved,9927eba5def39ebb3ffe7e7d2f99aafc6784b654371adca35d55f81bea4eacf0
B-asa-aero-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - ASA Aero,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s1/default/02b005fdf02d450084e3128f7cf0c36f/Bambu_ASA_Aero_Technical_Data_Sheet.pdf,Document / product page,G032-01,Retrieved,c5f128401819ebcad88fbbd4818eea9b1ceda7b99e58ab43550672633dc8e851
B-asa-cf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - ASA-CF,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s7/default/44b0a48ab1d84e819647c980eb179ae9/Bambus_ASA-CF_Technical_Data_Sheet.pdf,Document / product page,G033-01,Retrieved,d244e24b49638f08317eb93b941b9b55d8232f5bc957b296a4a9678c6dd03b2a
S-SPECTRUM-en-tds-spectrum-asax-x-gf10,Spectrum,asax x gf10,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://spectrumfilaments.com/wp-content/uploads/2023/11/en_tds_spectrum_asax_x_gf10.pdf,Document / product page,G034-01,Retrieved,f4f34b14a45646ed848481f9f4aa287fe3c00a893d7daa6451b33b0542205bfe
I-ASA-Glass-Fiber-Technical-Data-Sheet,iSANMATE,ASA Glass Fiber,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2025/08/ASA-Glass-Fiber-Technical-Data-Sheet.pdf,Document / product page,G034-02,Retrieved,6173ede40cc31227ccfeec0425635d5d10e930d78cf597ff88b89450cb5a23ac
B-PC-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PC,Technical Data Sheet V2.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/a52afdccddfd448583d119587122c8c5.pdf,Document / product page,G035-01,Retrieved,578ed906bc1604e756e0d1cb5b287b2bf4377390fbf151dc6405f8d38daf551d
B-pc-fr-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PC FR,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s1/default/4adf3c9827a0475d8777e9b8cfd11fbe.pdf,Document / product page,G036-01,Retrieved,9270695083ba583121736306b8e60fda24402a156a1883771aecd5ddc612be8f
X-CarbonX-CF-PC-TDSv3,3DXTECH,CarbonX CF PC,TDS Rev 3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_PC_TDSv3.pdf?v=1723942764,Document / product page,G037-01,Retrieved,7c382ac00a0cde95a77e55e1a18dc54dadf872fcf9fa151e516dc3e80e139579
S-SPECTRUM-en-tds-spectrum-pc-cf,Spectrum,pc cf,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://spectrumfilaments.com/wp-content/uploads/2024/11/en_tds_spectrum_pc_cf.pdf,Document / product page,G037-02,Retrieved,a9ee1709dc82eefdcceb9b6a37d919b96c74737c41fc527284a08bf00e457bac
I-PC-CF-TDS,iSANMATE,意可曼PHA EM40010,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2024/09/PC-CF_TDS.pdf,Document / product page,G037-03,Retrieved,a76a6fe305c4fa923e3ad3769e4d57a21d01bec96733a7828b60d766b2197446
S-PCGF-TDS-1,SIDDAMENT,PC-GF FILAMENT: 3D Printing Filament · Siddament V2 Range · Technical Data Sheet,Revision: 20260427,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/SIDDAMENT_V2_PC-GF_TDS.pdf?v=1779204053,Document / product page,G038-01,Retrieved,e1c9715424952ef7f09de55a2235bc2f6541a6ce8e1f848ba398079341023cf7
S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Polymaker,PolyFlex TPU95,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyFlex_TPU95_TDS_V5.1.pdf,Document / product page,G039-01,Retrieved,085b92653b50d7f808fa7a162edd5aa721581c4bff6e942b316c734057450713
I-TPU-TDS,iSANMATE,TPU,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://www.isanmate.com/wp-content/uploads/2022/09/TPU_TDS.pdf,Document / product page,G039-02,Retrieved; user-supplied local copy re-verified 2026-09-11 (SHA256 match confirms identical to originally cited document),e97956b414caf60da28b4b720f37c1366734dcc46423c0c7bb43bf1ba8a98b94
B-tpu-for-ams-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - TPU for AMS,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s5/default/0a98353dce6d486ca848b21d2b19a207.pdf,Document / product page,G040-01,Retrieved,587ca053a17fdeb1b40d5e639b178c5d980f4c440789d8c2842d67057a0b9b8c
B-tpu-95a-hf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - TPU 95A HF,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/58df32731eab4c90a7dac9b12e13ba88.pdf,Document / product page,G041-01,Retrieved,531bd68e500ca41b635584f19d637a3f48e26e31cbe560e80c8020e200f07fb9
B-TPU-SOFT-TDS-4,Bambu Lab,Bambu Filament Technical Data Sheet - TPU 90A,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0645/5876/0155/files/Bambu_TPU_90A_Technical_Data_Sheet_582bf8f6-1f0a-474c-aeda-9e72af3689dc.pdf?v=1741314674,Document / product page,G042-01,Retrieved,1bd702da7bb1dd6c8b56816d2469f29f5c3d9943524b7d84b779b064203effb0
B-TPU-SOFT-TDS-5,Bambu Lab,Bambu Filament Technical Data Sheet - TPU 85A,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0645/5876/0155/files/Bambu_TPU_85A_Technical_Data_Sheet_a7233668-497b-487f-af8a-3adb49fafaa1.pdf?v=1741314674,Document / product page,G043-01,Retrieved,70f480e450f416c4df7a0a0445c4fb356da782382c4308bddcb76ae4b401e4ae
S-TPC,BASF Forward AM,Ultrafuse TPC 45D,Version No.: 2.3,Not published,2026-09-10,Manufacturer TDS,cited,https://move.forward-am.com/hubfs/AES%20Documentation/Flexible%20Filaments/TPC%2045D/TDS/Ultrafuse_TPC_45D_TDS_EN_v2.3.pdf,Document / product page,G044-01; G046-01,Retrieved,43cf570387b2fcd59372e157e61930b1b56e36bd847fce3bc2f7992083eadea6
S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Polymaker,PolyFlex TPU90,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyFlex_TPU90_TDS_V5.1.pdf,Document / product page,G039-03 (re-filed 2026-09-13 from G044-02),Retrieved,b646650211110f3466d7f40f2ea69f2f066495f4be8bcdb7b2cf2f92489bbde8
S-PEBA-PEBA90A-TDS-en,eSUN,PEBA90A,Version 1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://www.esun3d.com/media/esun/catalog/certification/product/PEBA-90A/PEBA90A-TDS-en.pdf,Document / product page,G045-01,Retrieved,2fcbe0eaa6c09f42601d939c637f1d8e9d90f31972fbb3a03b7101ee9edf6cc2
S-SPECTRUM-en-tds-spectrum-peba,Spectrum,peba,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_peba.pdf,Document / product page,G045-02,Retrieved,3f08e318cbd082cb229b11ec21dc89a26554d019e1374add333a8c02f8762fad
S-POLYCN-PolyMide-CoPA-TDS-V5-2,Polymaker,PolyMide CoPA,Not published,Not published,2026-09-14,Manufacturer TDS,cited,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMide_CoPA_TDS_V5.2.pdf,Document / product page,G047-01; G057-01; G061-01,Retrieved,21762b0bec3f4b2819aa00ddb6b742c0fa449b86a4d699512cd6ad456fa53aee
X-AMIDEX-PA6-Copolymer-v1-0,3DXTECH,Technical Data Sheet: AmideX™ PA6 Copolymer 3D Printing Filament,TDS Rev 1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/AMIDEX_PA6_Copolymer_v1.0.pdf?v=1723942767,Document / product page,G047-02; G057-02; G061-02,Retrieved,6752cf025a50c485ead78dc0f22a87abcc5f19517ac2f7eccba385236035aaf1
S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,Spectrum,pa6 neat bk,Not published,Not published,2026-09-10,Manufacturer TDS,cited,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_pa6_neat_bk.pdf,Document / product page,G047-03; G049-01,Retrieved,9f5bfbb42ac4e83215da49c4d4747cdd96902e17fd688b7e95f86c3426488b4a
B-paht-cf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PAHT-CF,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/7166b20bc68f4c87b32c972b856eeb4b.pdf,Document / product page,G048-01,Retrieved,6bacdcd4acd3f7ca650217d1c2352f5dbc3c4f676f9196a564a05f5da8ef5f11
B-pa6-cf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PA6-CF,Technical Data Sheet V3.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/b2abc59ac250492b979a52f1ce3e61b3.pdf,Document / product page,G050-01,Retrieved,9308b0da339853daae60a37c109c73a8eb75b2d630f841c3e2b72bc32b00313e
B-pa6-gf-TDS,Bambu Lab,Bambu Filament Technical Data Sheet - PA6-GF,Technical Data Sheet V1.0,Not published,2026-09-10,Manufacturer TDS,cited,https://store.bblcdn.com/s5/default/f0317db8b3f44d0486553c1e214cff9d.pdf,Document / product page,G051-01,Retrieved,0e7397acf2007ff23291004bc1d38f1809dd51a512602b2b6205c23cbe14ea26
