ProfileID,MaterialID,GradeID,Profile,Nozzle °C,Nozzle state,Nozzle min °C,Nozzle max °C,Nozzle requirement,Bed °C,Bed state,Bed min °C,Bed max °C,Bed requirement,Chamber °C,Chamber state,Chamber min °C,Chamber max °C,Chamber requirement,Enclosure,Enclosure state,Plate,Drying,Drying state,Drying °C,Drying hours,Nozzle material,Nozzle diameter,Abrasion / clogging,Hardened nozzle,H2C left,H2C right,AMS 2 Pro,AMS HT,AMS published,Support pairing,Failure modes,SourceID,H2C SourceID,Locator,Parse review
P0015,M015,G015-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45°C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.2, 0.4,0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-galaxy-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0016,M016,G016-01,Manufacturer published guidance,190 - 230 °C,range,190,230,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-glow-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0017,M017,G017-01,Manufacturer published guidance,210 - 260 °C,range,210,260,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-aero-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0018,M018,G018-01,Manufacturer published guidance,210 - 240 °C,range,210,240,required,35 - 45 °C,range,35,45,required,25 - 45 °C,range,25,45,required,Not published,unknown,"Cool Plate, High Temperature Plate or","Blast Drying Oven: 55 °C, 8 h",stated,55,8,Not published,"0.4, 0.6, 0.8 mm",Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pla-cf-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0019,M019,G019-01,Manufacturer published guidance,210-230 (°C),range,210,230,required,25-60 (°C),range,25,60,required,Ambient temperature,ambient,Not applicable,Not applicable,required,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,material -,Not published,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,H2C-WIKI,Recommended printing settings,Not applicable
P0020,M019,G019-02,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-PLA-Glass-Fiber-Technical-Data-Sheet,H2C-WIKI,Recommended printing settings,Not applicable
P0021,M020,G020-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-3DXPRO-LG-PETG-TDS-v3,H2C-WIKI,Recommended printing settings,Not applicable
P0022,M020,G020-02,Manufacturer published guidance,230 - 240 (℃),range,230,240,required,70 - 80 (˚C),range,70,80,required,Room temperature,ambient,Not applicable,Not applicable,required,Not published,unknown,"BuildTak® , Glass",Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,material PolyDissolve™ S1,Not published,S-POLYCN-PolyLite-PETG-TDS-V5-3,H2C-WIKI,Recommended printing settings,Not applicable
P0023,M020,G020-03,Manufacturer published guidance,210 -235 ºC,range,210,235,required,50 -80 ºC,range,50,80,required,50-70 °C,range,50,70,required,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-PETG-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0024,M021,G021-01,Manufacturer published guidance,230 - 260 °C,range,230,260,required,65 - 75 °C,range,65,75,required,35 - 50 °C,range,35,50,required,Not published,unknown,Cool Plate Supertack / Textured PEI Plate /,X1 Series & P Series & H2 Series Printer,stated,Not published,Not published,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,"AMS, AMS 2 PRO, AMS HT, AMS Lite",Not published,Not published,B-petg-basic-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0025,M022,G022-01,Manufacturer published guidance,230 - 260 °C,range,230,260,required,65 - 75 °C,range,65,75,required,35 - 50 °C,range,35,50,required,Not published,unknown,"Smooth PEI Plate, Textured PEI Plate","Blast Drying Oven: 65 °C, 8 h",stated,65,8,Not published,"0.2, 0.4,0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-petg-hf-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0026,M023,G023-01,Manufacturer published guidance,230 - 270 °C,range,230,270,required,65 - 75 °C,range,65,75,required,35 - 50 °C,range,35,50,required,Not published,unknown,"Engineering Plate, High Temperature","Blast Drying Oven: 65 °C, 8 h",stated,65,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-petg-translucent-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0027,M024,G024-01,Manufacturer published guidance,240 - 270 °C,range,240,270,required,65 - 75 °C,range,65,75,required,35 - 50 °C,range,35,50,required,Not published,unknown,"Engineering Plate, High Temperature Plate","Blast Drying Oven: 65 °C, 8 h",stated,65,8,Not published,"0.4, 0.6, 0.8 mm",Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-petg-cf-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0028,M025,G025-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-PETG-Glass-Fiber-Technical-Data-Sheet,H2C-WIKI,Recommended printing settings,Not applicable
P0029,M026,G026-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-3DXSTAT-ESD-PETG-TDS-v03,H2C-WIKI,Recommended printing settings,Not applicable
P0030,M026,G026-02,Manufacturer published guidance,250-290 (˚C),range,250,290,required,70-80 (˚C),range,70,80,required,Room temperature-50 (˚C),range,25,50,required,Not published,unknown,"BuildTak® , PC film",Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,material NA,Not published,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,H2C-WIKI,Recommended printing settings,Not applicable
P0031,M026,G026-03,Manufacturer published guidance,230-260°C STORAGE AND SHELF LIFE,range,230,260,required,60-80°C Filament should be stored in a dr y room at room,range,60,80,required,Not published,unknown,Not applicable,Not applicable,unknown,for printing not necessary,not-needed,Not published,Not published,unknown,Not applicable,Not applicable,recommended No,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,S-SPECTRUM-en-tds-spectrum-petg-esd,H2C-WIKI,Recommended printing settings,Not applicable
P0032,M027,G027-01,Manufacturer published guidance,240 - 270 °C,range,240,270,required,80 - 100 °C,range,80,100,required,45 - 60 °C,range,45,60,required,Not published,unknown,"Engineering Plate, High Temperature Plate","Blast Drying Oven: 80 °C, 8 h",stated,80,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-abs-filament-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0033,M028,G028-01,Manufacturer published guidance,240 - 280 °C,range,240,280,required,80 -100 °C,range,80,100,required,45 - 60 °C,range,45,60,required,Not published,unknown,"Engineering Plate,High Temperature Plate","Blast Drying Oven: 80 °C, 8 h",stated,80,8,Not published,"0.4,0.6 ( recommended ),0.8 mm",Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-abs-gf-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0034,M029,G029-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-CarbonX-CF-ABS-TDS-v3,H2C-WIKI,Recommended printing settings,Not applicable
P0035,M029,G029-02,Manufacturer published guidance,220 -240 ºC,range,220,240,required,100- 110 ºC,range,100,110,required,50-70 °C,range,50,70,required,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-CF-ABS-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0036,M030,G030-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-3DXSTAT-ESD-ABS-TDS-v3,H2C-WIKI,Recommended printing settings,Not applicable
P0037,M030,G030-02,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-ESD-ABS-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0038,M031,G031-01,Manufacturer published guidance,240 - 270 °C,range,240,270,required,80 - 100 °C,range,80,100,required,45 - 60 °C,range,45,60,required,Not published,unknown,"Engineering Plate, High Temperature Plate","Blast Drying Oven: 80 °C, 8 h",stated,80,8,Not published,"0.2, 0.4, 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-asa-filament-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0039,M032,G032-01,Manufacturer published guidance,240 - 28 0 °C,range,240,240,required,80 - 90 °C,range,80,90,required,45 - 60 °C,range,45,60,required,Not published,unknown,"Engineering Plate, High Temperature Plate","Blast Drying Oven: 80 °C, 8 h",stated,80,8,Not published,"0.4 (Recommended) , 0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-asa-aero-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0040,M033,G033-01,Manufacturer published guidance,250 - 280 °C,range,250,280,required,80 - 100°C,range,80,100,required,45 - 60 °C,range,45,60,required,Not published,unknown,Textured PEI Plate / Smooth PEI Plate,"Blast Drying Oven: 80 °C, 8 h",stated,80,8,Not published,"0.4, 0.6, 0.8 mm",Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-asa-cf-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0041,M034,G034-01,Manufacturer published guidance,240 - 270°C,range,240,270,required,80 - 100°C,range,80,100,required,Not published,unknown,Not applicable,Not applicable,unknown,not necessary,not-needed,Not published,Not published,unknown,Not applicable,Not applicable,recommended,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,S-SPECTRUM-en-tds-spectrum-asax-x-gf10,H2C-WIKI,Recommended printing settings,Not applicable
P0042,M034,G034-02,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-ASA-Glass-Fiber-Technical-Data-Sheet,H2C-WIKI,Recommended printing settings,Not applicable
P0043,M035,G035-01,Manufacturer published guidance,260 - 280 °C,range,260,280,required,90 - 110 °C,range,90,110,required,45 - 60 °C,range,45,60,required,Not published,unknown,"Engineering Plate, High Temperature","80 °C, 8 hours",stated,80,8,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-PC-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0044,M036,G036-01,Manufacturer published guidance,260 - 280 °C,range,260,280,required,90 -110°C,range,90,110,required,45 - 60 °C,range,45,60,required,Not published,unknown,Smooth PEI Plate / Textured PEI Plate,"80°C, 8h",stated,80,8,Not published,"0.2, 0.4,0.6, 0.8 mm",Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,B-pc-fr-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0045,M037,G037-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,X-CarbonX-CF-PC-TDSv3,H2C-WIKI,Recommended printing settings,Not applicable
P0046,M037,G037-02,Manufacturer published guidance,"- standard speed 270-290°C sunlight and direct heat. When stored properly,",range,270,290,required,>80°C product has a shelf life of 24 months.,range,24,80,required,Not published,unknown,Not applicable,Not applicable,unknown,recommended for larger prints,recommended,Not published,Not published,unknown,Not applicable,Not applicable,Ye s,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pc-cf,H2C-WIKI,Recommended printing settings,Not applicable
P0047,M037,G037-03,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,I-PC-CF-TDS,H2C-WIKI,Recommended printing settings,Not applicable
P0048,M038,G038-01,Manufacturer published guidance,Not published,unknown,Not applicable,Not applicable,unknown,90-110 °C —,range,90,110,required,Not published,unknown,Not applicable,Not applicable,unknown,Not published,unknown,Not published,Not published,unknown,Not applicable,Not applicable,Not published,Not published,Use abrasion-resistant nozzle; verify minimum orifice. Fibre concentration and length are grade-specific.,TRUE,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,Not published,Not published,S-PCGF-TDS-1,H2C-WIKI,Recommended printing settings,Not applicable
P0049,M039,G039-01,Manufacturer published guidance,210 - 230 (℃),range,210,230,required,25 - 60 (˚C),range,25,60,required,Room temperature,ambient,Not applicable,Not applicable,required,Not published,unknown,"BuildTak® , Glass, Blue Tape",Not published,unknown,Not applicable,Not applicable,Not published,Not published,Not published,Not published,Verify exact grade/nozzle; no blanket approval,Verify exact grade/nozzle; no blanket approval,Not verified for every grade,Not verified for every grade,Not published,material PolySupport™ and PolyDissolve™ S1,Not published,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,H2C-WIKI,Recommended printing settings,Not applicable
