MeasurementID,MaterialID,GradeID,Property,Raw value,Raw unit,Raw numeric,Raw uncertainty ±,Raw upper bound,Operator,Conversion factor,Normalized value,Normalized uncertainty ±,Normalized upper bound,Normalized unit,Data status,Specimen type,Direction,Moisture condition,Moisture state,Post-processing,Post-processing state,Anneal °C,Anneal h,Test temperature,Standard / load,Standards,Test load MPa,Notch,Specimen / print parameters,SourceID,Locator,Notes,Parse review
V000011,M001,G001-02,Melting temperature,164 °C,°C,164,Not applicable,Not applicable,=,1,164,Not applicable,Not applicable,°C,Published value,Printed specimen,Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"DSC, 10°C/min",DSC,Not applicable,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Melting temperature,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000012,M001,G001-02,Crystallization temperature,96 °C,°C,96,Not applicable,Not applicable,=,1,96,Not applicable,Not applicable,°C,Published value,Printed specimen,Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"DSC, 10°C/min",DSC,Not applicable,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Crystallization temperature,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000013,M001,G001-02,Vicat softening temperature,61 °C,°C,61,Not applicable,Not applicable,=,1,61,Not applicable,Not applicable,°C,Published value,Printed specimen,Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 306, GB/T 1633",ISO 306; GB/T 1633,Not applicable,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Vicat softening temperature,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000014,M001,G001-02,HDT,52 °C,°C,52,Not applicable,Not applicable,=,1,52,Not applicable,Not applicable,°C,Published value,Printed specimen,Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,ISO 75 1.8MPa,ISO 75,1.8,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Heat deflection temperature,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000015,M001,G001-02,HDT,53 °C,°C,53,Not applicable,Not applicable,=,1,53,Not applicable,Not applicable,°C,Published value,Printed specimen,Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,ISO 75 0.45MPa,ISO 75,0.45,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Heat deflection temperature,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000016,M001,G001-02,Thermal conductivity,N/A,Not published,Not published,Not applicable,Not applicable,Not applicable,1,Not published,Not applicable,Not applicable,Not published,Not published,Printed specimen,Not published,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,N/A,Not published,Not applicable,Not applicable,"Printing temperature 210 °C / 230 °C, bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, environment 25 °C, cooling fan on; conditioned at room temperature for 24 h (p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Thermal conductivity,Test condition corrected 2026-09-14 (m10) against the data sheet: p. 6 lists both print temperatures; the thermal rows do not say which specimens were used.,Not applicable
V000017,M001,G001-02,Tensile modulus,2878.3 ± 74.3 MPa,MPa,2878.3,74.3,Not applicable,=,0.001,2.8783,0.0743,Not applicable,GPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Young’s modulus (X -Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000018,M001,G001-02,Tensile modulus,2689.8 ± 92.0 MPa,MPa,2689.8,92,Not applicable,=,0.001,2.6898,0.092,Not applicable,GPa,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Young’s modulus (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000019,M001,G001-02,Tensile strength (endpoint unspecified),46.0 ± 0.5 MPa,MPa,46,0.5,Not applicable,=,1,46,0.5,Not applicable,MPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Tensile strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000020,M001,G001-02,Tensile strength (endpoint unspecified),37.3 ± 0.7 MPa,MPa,37.3,0.7,Not applicable,=,1,37.3,0.7,Not applicable,MPa,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Tensile strength (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000021,M001,G001-02,Elongation at break,21.5 ± 5.02 %,%,21.5,5.02,Not applicable,=,1,21.5,5.02,Not applicable,%,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Elongation at break (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000022,M001,G001-02,Elongation at break,4.2 ± 2.0 %,%,4.2,2,Not applicable,=,1,4.2,2,Not applicable,%,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Elongation at break (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000023,M001,G001-02,Flexural modulus,2868.2 ± 78.4 MPa,MPa,2868.2,78.4,Not applicable,=,0.001,2.8682,0.0784,Not applicable,GPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending modulus (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000024,M001,G001-02,Flexural modulus,N/A,Not published,Not published,Not applicable,Not applicable,Not applicable,1,Not published,Not applicable,Not applicable,Not published,Not published,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending modulus (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000025,M001,G001-02,Flexural strength,76.5 ± 0.9 MPa,MPa,76.5,0.9,Not applicable,=,1,76.5,0.9,Not applicable,MPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000026,M001,G001-02,Flexural strength,N/A,Not published,Not published,Not applicable,Not applicable,Not applicable,1,Not published,Not applicable,Not applicable,Not published,Not published,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending strength (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000027,M001,G001-02,Charpy strength,6.1 ± 0.6 kJ/m2,kJ/m2,6.1,0.6,Not applicable,=,1,6.1,0.6,Not applicable,kJ/m²,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,Not published,Not published,Not applicable,Not published,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Charpy impact strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000028,M001,G001-02,Charpy strength,N/A,Not published,Not published,Not applicable,Not applicable,Not applicable,1,Not published,Not applicable,Not applicable,Not published,Not published,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 179, GB/T 1043",ISO 179; GB/T 1043,Not applicable,Not published,"Classic printing speed 46.7 mm/s, printing temperature 210 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Charpy impact strength (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 first table, classic printing speed.",Not applicable
V000029,M001,G001-02,Tensile modulus,2649.7 ± 78.3 MPa,MPa,2649.7,78.3,Not applicable,=,0.001,2.6497,0.0783,Not applicable,GPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Young’s modulus (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000030,M001,G001-02,Tensile modulus,2433.4 ± 79.4 MPa,MPa,2433.4,79.4,Not applicable,=,0.001,2.4334,0.0794,Not applicable,GPa,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Young’s modulus (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000031,M001,G001-02,Tensile strength (endpoint unspecified),43.9 ± 0.4 MPa,MPa,43.9,0.4,Not applicable,=,1,43.9,0.4,Not applicable,MPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Tensile strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000032,M001,G001-02,Tensile strength (endpoint unspecified),32.4 ± 0.4 MPa,MPa,32.4,0.4,Not applicable,=,1,32.4,0.4,Not applicable,MPa,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Tensile strength (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000033,M001,G001-02,Elongation at break,15.1 ± 3.9 %,%,15.1,3.9,Not applicable,=,1,15.1,3.9,Not applicable,%,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Elongation at break (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000034,M001,G001-02,Elongation at break,3.3 ± 0.5 %,%,3.3,0.5,Not applicable,=,1,3.3,0.5,Not applicable,%,Published value,Printed specimen,Z,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 527, GB/T 1040",ISO 527; GB/T 1040,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Elongation at break (Z),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000035,M001,G001-02,Flexural modulus,2797.9 ± 40.7 MPa,MPa,2797.9,40.7,Not applicable,=,0.001,2.7979,0.0407,Not applicable,GPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending modulus (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000036,M001,G001-02,Flexural strength,71.4 ± 0.6 MPa,MPa,71.4,0.6,Not applicable,=,1,71.4,0.6,Not applicable,MPa,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 178, GB/T 9341",ISO 178; GB/T 9341,Not applicable,Not applicable,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Bending strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000037,M001,G001-02,Charpy strength,5.0 ± 0.5 kJ/m2,kJ/m2,5,0.5,Not applicable,=,1,5,0.5,Not applicable,kJ/m²,Published value,Printed specimen,XY,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ISO 179, GB/T 1043",ISO 179; GB/T 1043,Not applicable,Not published,"High printing speed 300 mm/s, printing temperature 230 °C, 0.4 mm nozzle, 0.2 mm layers; bed 25 °C, 2 shells, 3 top and bottom layers, 100% infill, cooling fan on (p. 3, p. 6)",S-POLYCN-PolySonic-PLA-EN-V5-3-TDS,p. 3: Charpy impact strength (X-Y),"Test condition corrected 2026-09-14 (m10) against the data sheet: p. 3 second table, high printing speed.",Not applicable
V000038,M001,G001-03,Density,1.24 g/Cm3,g/Cm3,1.24,Not applicable,Not applicable,=,1000,1240,Not applicable,Not applicable,kg/m³,Published value,Not published (density specimen form not explicitly established),Not applicable,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,ASTM D1505,ASTM D1505,Not applicable,Not applicable,Not published,I-PLA-TDS,p. 1: Density,"Corrected 2026-09-16 (m33) against the source: the cell held the description paragraph of p. 1, a recommended printing range (190-220 ºC printing temperature, 50 ºC bed temperature) in marketing prose, not a test-specimen condition; the sheet publishes no specimen preparation or print conditions for its test values, and its Print Recommendation table (p. 2) is a printing guide. Its mechanical values are ASTM D882 film results.",Not applicable
V000039,M001,G001-03,Tensile strength (endpoint unspecified),"110,3 MPa",MPa,110.3,Not applicable,Not applicable,=,1,110.3,Not applicable,Not applicable,MPa,Published value (transcription corrected),Film specimen (ASTM D882); not a printed or moulded bar,Not published,Not published,not-stated,Not published,not-stated,Not applicable,Not applicable,Not published,"ASTM D882, machine direction",ASTM D882,Not applicable,Not applicable,Not published,I-PLA-TDS,p. 1: Tensile Strength MD,"Corrected 2026-09-13. ""110,3"" uses a decimal comma and had been read as 3. ASTM D882 is the thin-film tensile method; MD is the film machine direction. Not comparable with a printed bar. Corrected 2026-09-16 (m33) against the source: the cell held the description paragraph of p. 1, a recommended printing range (190-220 ºC printing temperature, 50 ºC bed temperature) in marketing prose, not a test-specimen condition; the sheet publishes no specimen preparation or print conditions for its test values, and its Print Recommendation table (p. 2) is a printing guide. Its mechanical values are ASTM D882 film results.",Not applicable
